category,path,line,snippet
context_injection,SKILL.md,37,"4. Design context parity. Inject current resources, capabilities, constraints, user-visible state, recent activity, domain vocabulary, permissions, and completion criteria into the"
context_injection,SKILL.md,40,"7. Make mutations safe. Add dry-run/preview, idempotency keys, scoped permissions, audit logs, confirmation for high-impact actions, sandbox/test mode, and undo/rollback where prac"
context_injection,SKILL.md,42,"9. Ship evals. Compare baseline versus improved surfaces and cover discovery, happy paths, permissions, edge cases, recovery, and regression."
tool_definition,SKILL.md,54,"MCP/A2A/tools: clear names/descriptions, typed schemas, examples, resource and prompt support, server/agent cards, consent model, safe defaults, high-signal responses, no hidden si"
context_injection,SKILL.md,56,"Apps/UIs: action parity, context parity, noun-test coverage, shared workspace, dynamic context injection, prompt-native features, UI reflection of agent mutations, durable links to"
context_injection,SKILL.md,78,"- `references/security-recovery.md` — permissions, approval, safety, rollback, privacy, abuse resistance."
tool_definition,AGENTS.md,15,- API/SDK/MCP/A2A/tools: `references/api-sdk-mcp-readiness.md`
context_injection,CHANGELOG.md,15,"- Added deeper references synthesizing the original Compound ideas: action/context parity, noun test, primitives, shared workspace, dynamic context injection, prompt-native behavio"
context_injection,references/framework.md,35,"- Explicit prerequisites, permissions, side effects, limits, and failure modes."
context_injection,references/framework.md,90,"- Explicit state endpoints or files for visible UI state, selected records, configuration, permissions, validation rules, active filters, recent activity, and constraints."
context_injection,references/framework.md,91,- Dynamic context injection when an agent is operating inside an app.
context_injection,references/framework.md,99,"- No way to list changed files/records, current selection, active workspace, or user permissions."
context_injection,references/framework.md,138,"### 8. Safety, permissions, and governance"
context_injection,references/framework.md,218,- Permissions and ownership.
context_injection,references/framework.md,227,"- Preserve filenames, MIME types, size, hashes, created/modified times, provenance, and permissions."
context_injection,references/audit-playbook.md,25,"- Safety and permissions: auth middleware, policy docs, RBAC, audit logs, destructive operations."
tool_definition,references/audit-playbook.md,46,MCP/tools:
context_injection,references/build-playbook.md,98,- User identity and permissions.
context_injection,references/surface-guides.md,72,"- Current workspace, project, selected objects, active filters, permissions, limits, and validation rules are available outside the DOM."
context_injection,references/surface-guides.md,81,"- Dynamic context injection: when an embedded agent is used, inject current object IDs, selection, permissions, and relevant state."
context_injection,references/surface-guides.md,239,- Are permissions and provenance visible?
context_injection,references/scoring-rubric.md,88,"2: Agents receive partial state but must infer crucial IDs, permissions, limits, or selections."
context_injection,references/scoring-rubric.md,90,"5: Core resources are readable, but active UI/workspace context, validation rules, permissions, dependencies, or recent changes are missing."
context_injection,references/scoring-rubric.md,92,"8: Agents can inspect current state, resources, relationships, permissions, constraints, files, and validation rules for important tasks."
context_injection,references/scoring-rubric.md,96,"Evidence to cite: list/get endpoints, state APIs, resources, context payloads, exports, permissions APIs, schemas."
context_injection,references/scoring-rubric.md,126,"## Dimension 8: Safety, permissions, and governance"
context_injection,references/scoring-rubric.md,132,"5: Basic permissions and confirmations exist, but dry-run, approval, audit logs, or rollback are incomplete."
context_injection,references/evaluation.md,254,"- Context: missing/incorrect IDs, permissions, state, limits, constraints."
context_injection,references/research-notes.md,15,"- **Dynamic context injection**: app-embedded agents should receive current object IDs, selection, permissions, and state."
context_injection,references/agent-native-architecture.md,8,"2. **Context parity.** Agents need the same domain objects, state, permissions, constraints, recent activity, and completion criteria a competent human operator sees."
context_injection,references/agent-native-architecture.md,11,"5. **Dynamic context injection.** Static system prompts are not enough. Runtime context should tell the agent what resources exist, what it may do, what state is current, and what "
context_injection,references/agent-native-architecture.md,46,"| Context starvation | Agent sees a static prompt but not current state | Inject workspace, permissions, objects, limits, recent activity |"
context_injection,references/agent-native-architecture.md,55,"1. Find UI actions, route handlers, CLI commands, SDK methods, tool definitions, and system prompt/context construction."
context_injection,references/agent-native-architecture.md,59,5. Inspect runtime context. The agent path should not depend on guessing hidden IDs or reading a brittle DOM.
context_injection,references/app-ui-and-workspace-readiness.md,13,"Agents need access to current workspace, selected project, active filters, table data, chart underlying data, object IDs, permissions, limits, validation rules, recent activity, an"
context_injection,references/app-ui-and-workspace-readiness.md,27,- Agent has stale or incomplete runtime context.
context_injection,references/files-mobile-and-long-running-work.md,21,"Mobile agent surfaces must account for battery, network loss, OS background limits, permissions, storage sandboxes, and user-visible approval. Work should checkpoint before suspens"
context_injection,references/review-recipes.md,25,- Safety/permissions/recovery.
context_injection,references/original-compound-comparison.md,5,"The deprecated Compound package was opinionated in a good way. It made a strong claim that agent support is not a bolt-on chatbot: the user and the agent should share action paths,"
context_injection,references/original-compound-comparison.md,13,- **Dynamic context injection:** static prompts are not enough; runtime state and capabilities should be injected.
context_injection,references/source-map.md,12,- Dynamic context injection.
cli_command,scripts/agent_use_audit.py,9,import argparse
cli_command,scripts/agent_use_audit.py,240,"r""argparse"", r""click\.command"", r""typer\.Typer"", r""commander"", r""yargs"", r""oclif"","
cli_command,scripts/agent_use_audit.py,241,"r""cobra\.Command"", r""clap::Parser"", r""picocli"", r""console_scripts"", r""\[project\.scripts\]"","
ui_action,scripts/agent_use_audit.py,257,"r""onClick\s*="", r""onSubmit\s*="", r""addEventListener\(['\""]click"", r""<button\b"", r""<Button\b"","
ui_action,scripts/agent_use_audit.py,258,"r""onPressed\s*:"", r""onTapGesture"", r""TouchableOpacity"", r""Pressable"", r""button_to"", r""form_with"","
tool_definition,scripts/agent_use_audit.py,262,"r""input_schema"", r""server\.tool\("", r""\.tool\("", r""@tool"", r""function_tool"","
tool_definition,scripts/agent_use_audit.py,263,"r""StructuredTool"", r""Tool\("", r""tools\s*[:=]"", r""tool_choice"", r""function_call"","
context_injection,scripts/agent_use_audit.py,324,"self._safety_permissions(),"
context_injection,scripts/agent_use_audit.py,478,"recs.append(""Document where agents obtain workspace, permissions, object IDs, active filters, validation rules, and related records."")"
context_injection,scripts/agent_use_audit.py,530,def _safety_permissions(self) -> DimensionResult:
context_injection,scripts/agent_use_audit.py,534,"return DimensionResult(""Safety, permissions, and governance"", False, None, notes=[""No obvious side-effecting surface detected.""])"
context_injection,scripts/agent_use_audit.py,550,"return DimensionResult(""Safety, permissions, and governance"", True, clamp(score), unique_evidence(s[""auth""], s[""safety""], s[""errors""], s[""recovery""], s[""observability""], limit=14),"
cli_command,scripts/agent_use_audit.py,690,def parse_args(argv: Optional[Sequence[str]] = None) -> argparse.Namespace:
cli_command,scripts/agent_use_audit.py,691,"parser = argparse.ArgumentParser(description=""Audit a repository/directory for agent-usefulness signals."")"
cli_command,scripts/web_agent_readiness.py,5,import argparse
api_route,scripts/web_agent_readiness.py,91,"def fetch(label: str, url: str, accept: str | None, timeout: float, max_bytes: int) -> tuple[EndpointResult, str]:"
api_route,scripts/web_agent_readiness.py,178,"r,b=fetch(label, endpoint, accept, timeout, max_bytes); results.append(r)"
api_route,scripts/web_agent_readiness.py,191,"app=report.get(""applicability"",{}); lines.append(f""Profile: **{app.get('profile')}** ({app.get('profile_reason')})""); lines += ["""",""## Scores""]"
cli_command,scripts/web_agent_readiness.py,202,def parse_args(argv: Sequence[str] | None=None) -> argparse.Namespace:
cli_command,scripts/web_agent_readiness.py,203,"p=argparse.ArgumentParser(description=""Check web/docs agent-readiness discovery endpoints."")"
cli_command,scripts/generate_llms_txt.py,9,import argparse
cli_command,scripts/generate_llms_txt.py,181,def parse_args(argv: Optional[Sequence[str]] = None) -> argparse.Namespace:
cli_command,scripts/generate_llms_txt.py,182,"parser = argparse.ArgumentParser(description=""Generate a draft llms.txt from a docs directory."")"
cli_command,scripts/validate_skill.py,5,"import argparse, json, py_compile, re, subprocess, sys"
cli_command,scripts/validate_skill.py,108,"content=script.read_text(encoding=""utf-8"", errors=""replace""); helpful=""argparse"" in content or ""from validate_skill import main"" in content or ""from agent_use_audit import main"" in"
cli_command,scripts/validate_skill.py,109,"checks.append(Check(f""script-{script.name}"",""pass"" if helpful else ""warn"",""script uses argparse/help patterns or delegates to a validated CLI"" if helpful else ""script may not expos"
cli_command,scripts/validate_skill.py,128,def parse_args(argv: Optional[Sequence[str]]=None) -> argparse.Namespace:
cli_command,scripts/validate_skill.py,129,"p=argparse.ArgumentParser(description=""Validate an Agent Skill package structure and common agent-use assets."")"
cli_command,scripts/action_parity_inventory.py,8,"import argparse, csv, fnmatch, os, re, sys"
ui_action,scripts/action_parity_inventory.py,16,"""ui_action"":[r""\bonClick\b"",r""\bonSubmit\b"",r""<button\b"",r""Button\("",r""addEventListener\(['\""]click"",r""onPressed\b"",r""onTap\b""],"
cli_command,scripts/action_parity_inventory.py,18,"""cli_command"":[r""argparse"",r""click\.command"",r""commander\("",r""cobra\.Command"",r""yargs"",r""clap::"",r""process\.argv""],"
tool_definition,scripts/action_parity_inventory.py,19,"""tool_definition"":[r""\btool\s*\("",r""StructuredTool"",r""function_call"",r""tools\s*[:=]"",r""McpServer"",r""server\.tool"",r""input_schema"",r""inputSchema""],"
context_injection,scripts/action_parity_inventory.py,20,"""context_injection"":[r""system prompt"",r""systemPrompt"",r""runtime context"",r""context injection"",r""available resources"",r""workspace state"",r""permissions""],"
context_injection,scripts/action_parity_inventory.py,50,"for h in groups.get(""ui_action"",[])[:40]: lines.append(f""| UI action | `{h.path}:{h.line}` | TBD API/CLI/tool | visible state, IDs, permissions | preview/audit if mutating | needs "
cli_command,scripts/action_parity_inventory.py,66,"p=argparse.ArgumentParser(description=""Inventory candidate UI actions and agent action paths."")"
cli_command,scripts/generate_agent_assets.py,4,"import argparse, datetime as dt, re, sys"
context_injection,scripts/generate_agent_assets.py,17,"Asset(""CONTEXT_INJECTION.md.template"",""docs/agent-use/context-injection-contract.md"",""app"",""Dynamic context injection contract""),"
cli_command,scripts/generate_agent_assets.py,34,"p=argparse.ArgumentParser(description=""Scaffold agent-use assets from templates."")"
tool_definition,assets/schemas/tool-definition.schema.json,6,"""required"": [""name"", ""description"", ""input_schema""],"
tool_definition,assets/schemas/tool-definition.schema.json,20,"""input_schema"": {""type"": ""object""},"
